seed,patient_id,model,gt_nonempty,pred_nonempty,dice,hd95,fnr,fpr
1,BraTS2021_00436,2d_bce_dice,True,True,0.966,1.732,0.031,0.000
1,BraTS2021_00436,2d_boundary,True,True,0.955,2.449,0.000,0.165
1,BraTS2021_00436,25d_bce_dice,True,True,0.960,2.828,0.000,0.044
1,BraTS2021_00436,25d_boundary,True,True,0.962,1.732,0.000,0.044
1,BraTS2021_00504,2d_bce_dice,True,True,0.971,2.000,0.016,0.033
1,BraTS2021_00504,2d_boundary,True,True,0.971,2.000,0.000,0.187
1,BraTS2021_00504,25d_bce_dice,True,True,0.974,1.732,0.016,0.011
1,BraTS2021_00504,25d_boundary,True,True,0.972,1.414,0.000,0.099
1,BraTS2021_01029,2d_bce_dice,True,True,0.963,2.236,0.013,0.000
1,BraTS2021_01029,2d_boundary,True,True,0.975,1.000,0.000,0.132
1,BraTS2021_01029,25d_bce_dice,True,True,0.968,2.236,0.000,0.000
1,BraTS2021_01029,25d_boundary,True,True,0.975,1.414,0.000,0.105
1,BraTS2021_01112,2d_bce_dice,True,True,0.975,1.414,0.054,0.000
1,BraTS2021_01112,2d_boundary,True,True,0.975,1.414,0.014,0.148
1,BraTS2021_01112,25d_bce_dice,True,True,0.980,1.000,0.054,0.000
1,BraTS2021_01112,25d_boundary,True,True,0.973,1.414,0.014,0.037
1,BraTS2021_01136,2d_bce_dice,True,True,0.971,1.732,0.013,0.077
1,BraTS2021_01136,2d_boundary,True,True,0.969,1.732,0.000,0.141
1,BraTS2021_01136,25d_bce_dice,True,True,0.975,1.414,0.013,0.051
1,BraTS2021_01136,25d_boundary,True,True,0.975,1.414,0.000,0.128
1,BraTS2021_01203,2d_bce_dice,True,True,0.899,4.243,0.036,0.000
1,BraTS2021_01203,2d_boundary,True,True,0.898,5.385,0.000,0.140
1,BraTS2021_01203,25d_bce_dice,True,True,0.892,4.583,0.036,0.000
1,BraTS2021_01203,25d_boundary,True,True,0.902,4.123,0.018,0.010
1,BraTS2021_01211,2d_bce_dice,True,True,0.910,5.477,0.137,0.024
1,BraTS2021_01211,2d_boundary,True,True,0.909,5.000,0.041,0.183
